rep,variant,train_run,eval_run,metric,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_cost_mean,safety_efficiency_score,heldout_csv
3,fixed003,axis3_fixed003_s42_rep03,eval_axis3_fixed003_s42_rep03,-0.635,0.41,0.25,0.5,0.59,0.6774937171770739,288.68,-0.635,runs/research_v1/eval_axis3_fixed003_s42_rep03/eval/heldout_random.csv
3,fixed005,axis3_fixed005_s42_rep03,eval_axis3_fixed005_s42_rep03,-0.4700000000000001,0.44,0.23,0.4,0.56,0.7000749362387839,258.86,-0.4700000000000001,runs/research_v1/eval_axis3_fixed005_s42_rep03/eval/heldout_random.csv
3,fixed010,axis3_fixed010_s42_rep03,eval_axis3_fixed010_s42_rep03,-0.715,0.39,0.3,0.5,0.61,0.6760370619143252,276.73,-0.715,runs/research_v1/eval_axis3_fixed010_s42_rep03/eval/heldout_random.csv
4,adaptive_default,axis3_adaptive_default_s42_rep04,eval_axis3_adaptive_default_s42_rep04,-0.38,0.48,0.25,0.35,0.52,0.692671845621726,252.64,-0.38,runs/research_v1/eval_axis3_adaptive_default_s42_rep04/eval/heldout_random.csv
4,adaptive_loose,axis3_adaptive_loose_s42_rep04,eval_axis3_adaptive_loose_s42_rep04,-0.62,0.4,0.18,0.54,0.6,0.6243631240246427,295.11,-0.62,runs/research_v1/eval_axis3_adaptive_loose_s42_rep04/eval/heldout_random.csv
4,adaptive_strict,axis3_adaptive_strict_s42_rep04,eval_axis3_adaptive_strict_s42_rep04,-0.635,0.37,0.19,0.5,0.63,0.6297742183709808,264.74,-0.635,runs/research_v1/eval_axis3_adaptive_strict_s42_rep04/eval/heldout_random.csv
4,fixed003,axis3_fixed003_s42_rep04,eval_axis3_fixed003_s42_rep04,-0.43,0.46,0.17,0.45,0.54,0.6684604444081086,260.6,-0.43,runs/research_v1/eval_axis3_fixed003_s42_rep04/eval/heldout_random.csv
4,fixed005,axis3_fixed005_s42_rep04,eval_axis3_fixed005_s42_rep04,-0.555,0.47,0.37,0.39,0.53,0.6870017768085954,276.45,-0.555,runs/research_v1/eval_axis3_fixed005_s42_rep04/eval/heldout_random.csv
4,fixed010,axis3_fixed010_s42_rep04,eval_axis3_fixed010_s42_rep04,-0.49,0.52,0.38,0.39,0.48,0.7008401331917041,264.65,-0.49,runs/research_v1/eval_axis3_fixed010_s42_rep04/eval/heldout_random.csv
5,adaptive_default,axis3_adaptive_default_s42_rep05,eval_axis3_adaptive_default_s42_rep05,-0.31500000000000006,0.47,0.16,0.36,0.53,0.7554165502400717,244.75,-0.31500000000000006,runs/research_v1/eval_axis3_adaptive_default_s42_rep05/eval/heldout_random.csv
5,adaptive_loose,axis3_adaptive_loose_s42_rep05,eval_axis3_adaptive_loose_s42_rep05,-0.5800000000000001,0.44,0.32,0.42,0.56,0.6654656740026532,272.87,-0.5800000000000001,runs/research_v1/eval_axis3_adaptive_loose_s42_rep05/eval/heldout_random.csv
5,adaptive_strict,axis3_adaptive_strict_s42_rep05,eval_axis3_adaptive_strict_s42_rep05,-0.67,0.42,0.26,0.54,0.58,0.7097699949019959,262.67,-0.67,runs/research_v1/eval_axis3_adaptive_strict_s42_rep05/eval/heldout_random.csv
5,fixed003,axis3_fixed003_s42_rep05,eval_axis3_fixed003_s42_rep05,-0.29,0.5,0.24,0.3,0.5,0.7342751032718978,239.13,-0.29,runs/research_v1/eval_axis3_fixed003_s42_rep05/eval/heldout_random.csv
5,fixed005,axis3_fixed005_s42_rep05,eval_axis3_fixed005_s42_rep05,-0.405,0.49,0.31,0.33,0.51,0.7295056165860995,240.2,-0.405,runs/research_v1/eval_axis3_fixed005_s42_rep05/eval/heldout_random.csv
5,fixed010,axis3_fixed010_s42_rep05,eval_axis3_fixed010_s42_rep05,-0.42500000000000004,0.47,0.23,0.4,0.53,0.7034837264201186,224.58,-0.42500000000000004,runs/research_v1/eval_axis3_fixed010_s42_rep05/eval/heldout_random.csv
6,adaptive_default,axis3_adaptive_default_s42_rep06,eval_axis3_adaptive_default_s42_rep06,-0.5549999999999999,0.37,0.12,0.49,0.63,0.6465487126726563,258.16,-0.5549999999999999,runs/research_v1/eval_axis3_adaptive_default_s42_rep06/eval/heldout_random.csv
6,adaptive_loose,axis3_adaptive_loose_s42_rep06,eval_axis3_adaptive_loose_s42_rep06,-0.375,0.49,0.2,0.41,0.51,0.7121361925457544,232.98,-0.375,runs/research_v1/eval_axis3_adaptive_loose_s42_rep06/eval/heldout_random.csv
6,adaptive_strict,axis3_adaptive_strict_s42_rep06,eval_axis3_adaptive_strict_s42_rep06,-0.47000000000000003,0.5,0.26,0.46,0.5,0.7253883383178619,223.84,-0.47000000000000003,runs/research_v1/eval_axis3_adaptive_strict_s42_rep06/eval/heldout_random.csv
6,fixed003,axis3_fixed003_s42_rep06,eval_axis3_fixed003_s42_rep06,-0.635,0.42,0.27,0.49,0.59,0.7056250326275084,263.71,-0.635,runs/research_v1/eval_axis3_fixed003_s42_rep06/eval/heldout_random.csv
6,fixed005,axis3_fixed005_s42_rep06,eval_axis3_fixed005_s42_rep06,-0.47500000000000003,0.45,0.2,0.45,0.55,0.6899226612734678,250.49,-0.47500000000000003,runs/research_v1/eval_axis3_fixed005_s42_rep06/eval/heldout_random.csv
